Record_ID,Record_Date,Academic_Year,School,School_Type,City,Student_ID,Student_First_Name,Student_Last_Name,Student_Full_Name,Age,Grade_Level,Department,Teacher,Grade_Score,Grade_Category,Presence_Rate_Pct,Absence_Days,Late_Arrivals,Students_Per_Computer,Classroom_Size,Library_Books,Lab_Equipment_Score,Internet_Quality,Playground_Quality,Budget_Per_Student,Teaching_Materials_Budget,Infrastructure_Budget,Extra_Curricular_Budget,Student_Teacher_Ratio,Graduation_Rate_Pct,University_Admission_Rate_Pct,Parent_Satisfaction_Score,Student_Satisfaction_Score,Participates_Sports,Participates_Arts,Participates_Clubs
EDU000011,2020-10-03,2022-2023,Lycée Voltaire,Privé,Birmingham,STU82692,Arthur,Bonnet,Arthur Bonnet,14,4ème,Français,Pierre Petit,10.6,Moyen (D),97.2,17,4,3,29,7901,85,Moyen,Bon,1881,38122,138065,10228,28.1,97,43,65,90,Non,Non,Oui
EDU000012,2022-02-18,2026-2027,Lycée Victor Hugo,Public,New York,STU31178,Zoe,Leroy,Zoe Leroy,16,1ère,Philosophie,Felix Vincent,11.3,Moyen (D),76.9,4,1,3,38,19105,49,Mauvais,Bon,971,25202,105591,3307,28.0,76,83,75,56,Non,Non,Oui
EDU000013,2022-08-27,2021-2022,Lycée Albert Einstein,Privé,Sheffield,STU13248,Rose,Garcia,Rose Garcia,13,5ème,Informatique,Ines Lefevre,16.0,Excellent (A),96.6,7,8,2,23,13535,95,Excellent,Mauvais,1711,18079,130665,13457,16.1,95,54,74,51,Oui,Non,Non
EDU000014,2023-10-19,2020-2021,Lycée Simone de Beauvoir,Public,Sheffield,STU76768,Hugo,Girard,Hugo Girard,15,3ème,Musique,Alice Bonnet,11.8,Moyen (D),96.9,8,5,5,28,2253,46,Mauvais,Moyen,2084,33599,144066,5789,17.7,88,52,76,52,Non,Oui,Oui
EDU000015,2024-05-15,2020-2021,Lycée Thomas Edison,Public,Houston,STU96951,Raphael,Simon,Raphael Simon,16,Terminale,Biologie,Emma Laurent,13.4,Bien (C),83.2,9,4,2,33,13423,83,Bon,Moyen,2463,40909,10106,11957,15.7,83,87,80,79,Non,Non,Oui
EDU000016,2022-07-28,2026-2027,Lycée Voltaire,Privé,Philadelphia,STU47196,Arthur,Dubois,Arthur Dubois,16,2nde,Chimie,Zoe Legrand,11.7,Moyen (D),93.8,9,7,2,24,1800,42,Bon,Mauvais,1098,34846,118643,8371,24.4,82,71,85,65,Oui,Oui,Oui
EDU000017,2026-06-23,2021-2022,Lycée Nelson Mandela,Privé,Montpellier,STU83060,Manon,Bernard,Manon Bernard,11,5ème,Sport,Pierre Petit,16.0,Excellent (A),91.7,17,10,4,39,17540,67,Mauvais,Bon,2744,34495,77945,10101,26.8,78,73,91,90,Oui,Non,Non
EDU000018,2023-04-19,2022-2023,Lycée Jean Jaurès,Privé,Birmingham,STU51904,Camille,Simon,Camille Simon,14,2nde,Histoire-Géographie,Pierre Petit,10.3,Moyen (D),92.3,6,2,4,33,11842,74,Mauvais,Mauvais,1055,18555,120138,14762,28.1,88,84,61,86,Non,Non,Oui
EDU000019,2025-01-15,2026-2027,Lycée Thomas Edison,Public,Lille,STU64921,Adam,Martinez,Adam Martinez,16,2nde,Biologie,Alice Bonnet,16.0,Excellent (A),97.4,15,7,3,33,16913,41,Mauvais,Moyen,2456,15816,132523,6182,29.6,87,41,85,87,Oui,Oui,Non
EDU000020,2022-09-15,2023-2024,Lycée Marie Curie,Public,Sheffield,STU59689,Lucas,Leroy,Lucas Leroy,12,4ème,Sport,Antoine Michel,11.4,Moyen (D),97.0,8,13,3,22,16411,41,Excellent,Moyen,1718,47607,27987,3319,25.1,77,52,61,89,Oui,Oui,Oui
EDU000021,2023-02-10,2020-2021,Lycée Alexandre Dumas,Public,Manchester,STU43586,Manon,Lefevre,Manon Lefevre,17,Terminale,Histoire-Géographie,Zoe Legrand,14.6,Très bien (B),77.9,5,9,1,38,1841,59,Mauvais,Mauvais,1612,9980,73661,5339,23.9,79,93,67,86,Oui,Non,Non
EDU000022,2026-05-05,2020-2021,Lycée Jean Moulin,Public,Los Angeles,STU11658,Zoe,Simon,Zoe Simon,17,Terminale,Musique,Manon Dupont,11.1,Moyen (D),95.7,4,13,2,36,9850,79,Mauvais,Mauvais,2584,43828,80358,12561,27.0,96,55,77,78,Oui,Non,Non
EDU000023,2024-04-24,2023-2024,Lycée Thomas Edison,Public,Paris,STU37802,Thomas,Bertrand,Thomas Bertrand,13,4ème,Informatique,Hugo Simon,16.8,Excellent (A),92.5,8,0,5,26,3805,55,Mauvais,Mauvais,1784,36201,138665,16685,25.9,72,58,74,75,Oui,Non,Non
EDU000024,2024-07-10,2024-2025,Lycée Alexandre Dumas,Public,San Diego,STU82140,Louis,Mercier,Louis Mercier,13,4ème,Biologie,Lucas Mercier,10.7,Moyen (D),81.3,3,6,3,23,18559,88,Bon,Bon,1686,36732,82482,19191,21.9,73,52,78,64,Non,Oui,Non
EDU000025,2022-02-01,2024-2025,Lycée Victor Hugo,Public,Birmingham,STU17146,Camille,Bernard,Camille Bernard,15,2nde,Biologie,Pierre Petit,14.4,Très bien (B),93.8,3,0,5,29,16381,70,Mauvais,Moyen,1555,8367,76185,17654,12.3,72,65,91,54,Oui,Oui,Oui
EDU000026,2023-06-14,2020-2021,Lycée Victor Schoelcher,Public,Lille,STU64548,Jean,Vincent,Jean Vincent,16,2nde,Économie,Zoe Legrand,10.3,Moyen (D),88.1,14,14,3,38,15051,59,Excellent,Excellent,1651,45993,65318,10671,23.2,75,55,71,85,Oui,Oui,Oui
EDU000027,2025-12-08,2025-2026,Lycée Nelson Mandela,Privé,Phoenix,STU40340,Antoine,Bernard,Antoine Bernard,14,4ème,Sciences,Felix Vincent,16.6,Excellent (A),76.8,7,8,5,26,14930,47,Bon,Bon,1888,14321,28719,3954,13.3,79,78,78,78,Oui,Non,Non
EDU000028,2026-04-12,2022-2023,Lycée Montesquieu,Privé,Chicago,STU67377,Jules,Bertrand,Jules Bertrand,12,6ème,Mathématiques,Ines Lefevre,15.4,Très bien (B),75.6,7,0,3,38,2318,88,Bon,Mauvais,2925,47697,125927,11114,13.6,88,67,91,55,Non,Non,Non
EDU000029,2021-11-03,2025-2026,Lycée Thomas Edison,Public,New York,STU53228,Adam,Richard,Adam Richard,15,3ème,Sport,Emma Laurent,14.6,Très bien (B),85.0,17,1,4,22,11306,56,Moyen,Excellent,2455,38724,10301,19779,19.2,71,52,93,73,Non,Non,Oui
EDU000030,2022-02-19,2024-2025,Lycée Albert Einstein,Privé,Bordeaux,STU67424,David,Moreau,David Moreau,16,1ère,Français,Michel Dupont,17.9,Excellent (A),81.0,5,9,5,20,19096,66,Excellent,Bon,1264,35241,40793,7045,20.0,92,58,92,67,Non,Non,Non
EDU000031,2022-04-16,2024-2025,Lycée Albert Einstein,Privé,Phoenix,STU88561,Lea,Petit,Lea Petit,16,2nde,Histoire-Géographie,Jean Bernard,10.8,Moyen (D),94.8,13,10,5,28,1084,58,Moyen,Mauvais,1408,34264,136967,13309,16.6,94,74,84,79,Non,Oui,Oui
EDU000032,2025-04-10,2021-2022,Lycée Victor Schoelcher,Public,Chicago,STU71993,Lucas,Simon,Lucas Simon,16,1ère,Arts,Anna Roux,16.9,Excellent (A),99.1,4,10,1,34,4267,73,Mauvais,Excellent,1390,31868,50464,4451,19.4,78,61,85,55,Non,Non,Non
EDU000033,2026-02-20,2026-2027,Lycée Jean Moulin,Public,Birmingham,STU14705,Adam,Vincent,Adam Vincent,14,2nde,Langues,Arthur Girard,14.8,Très bien (B),82.2,7,2,4,23,4293,68,Bon,Moyen,918,8014,95032,3838,15.9,81,67,69,65,Non,Oui,Oui
EDU000034,2024-12-15,2024-2025,Lycée Marie Curie,Public,Marseille,STU41566,Raphael,Andre,Raphael Andre,15,3ème,Histoire-Géographie,Clara Moreau,12.6,Bien (C),81.3,8,0,4,29,18910,50,Excellent,Mauvais,2215,43507,88421,15903,23.8,84,59,72,74,Non,Oui,Oui
EDU000035,2023-12-26,2022-2023,Lycée Nelson Mandela,Privé,Dallas,STU12875,Anna,Moreau,Anna Moreau,18,Terminale,Arts,Hugo Simon,10.1,Moyen (D),99.3,19,15,3,27,12544,54,Bon,Moyen,1360,46172,35470,3291,16.2,84,52,83,58,Oui,Non,Non
EDU000036,2022-12-02,2021-2022,Lycée Montesquieu,Privé,Houston,STU80701,Sophie,Lambert,Sophie Lambert,14,4ème,Philosophie,Hugo Simon,16.3,Excellent (A),81.4,15,9,3,23,16346,44,Bon,Bon,2427,41524,105885,4959,25.8,70,56,94,57,Non,Non,Non
EDU000037,2024-10-31,2026-2027,Lycée Victor Schoelcher,Public,Chicago,STU40647,Jean,Andre,Jean Andre,13,3ème,Physique,Alice Bonnet,11.4,Moyen (D),91.2,20,14,3,40,14379,47,Bon,Excellent,952,24946,139138,5805,11.9,98,74,68,74,Non,Non,Non
EDU000038,2022-05-26,2025-2026,Lycée Victor Schoelcher,Public,Leeds,STU95841,Rose,Garcia,Rose Garcia,11,6ème,Physique,Ines Lefevre,17.2,Excellent (A),92.3,6,14,4,27,12884,46,Moyen,Moyen,1048,31092,82320,8219,29.4,97,69,65,63,Oui,Oui,Non
EDU000039,2022-12-20,2026-2027,Lycée Albert Einstein,Privé,Nice,STU82641,Marie,Bonnet,Marie Bonnet,13,5ème,Langues,Clara Moreau,11.3,Moyen (D),78.7,19,0,3,24,5259,74,Moyen,Bon,1250,48323,16758,6318,10.3,95,55,80,51,Oui,Non,Oui
EDU000040,2021-12-10,2023-2024,Lycée Marie Curie,Public,Leeds,STU72422,Felix,Dubois,Felix Dubois,14,3ème,Philosophie,Raphael Francois,9.1,Insuffisant (E),87.6,19,1,5,29,16009,81,Excellent,Excellent,2761,31320,121745,5537,19.8,84,44,65,70,Oui,Oui,Oui
EDU000041,2024-04-24,2025-2026,Lycée Simone de Beauvoir,Public,Austin,STU79541,Lea,Morel,Lea Morel,13,4ème,Philosophie,Zoe Legrand,12.3,Bien (C),94.8,3,6,4,34,8487,66,Moyen,Mauvais,2433,32262,34926,12241,18.5,91,56,83,59,Non,Oui,Oui
EDU000042,2021-10-01,2023-2024,Lycée Jean Jaurès,Privé,Marseille,STU58843,Felix,Mercier,Felix Mercier,16,Terminale,Philosophie,Sophie Martin,14.0,Très bien (B),83.2,3,13,3,33,2685,58,Moyen,Moyen,1224,42874,143015,8971,13.1,85,64,66,72,Non,Oui,Non
EDU000043,2025-06-24,2026-2027,Lycée Victor Schoelcher,Public,Montpellier,STU91490,Adam,Vincent,Adam Vincent,16,2nde,Chimie,Alice Bonnet,8.7,Insuffisant (E),95.7,8,0,2,28,11124,61,Moyen,Excellent,1543,14388,115063,4280,12.8,90,41,65,83,Oui,Non,Non
EDU000044,2024-10-25,2021-2022,Lycée Alexandre Dumas,Public,New York,STU52517,Antoine,Mercier,Antoine Mercier,18,Terminale,Physique,Jean Bernard,16.4,Excellent (A),76.2,2,8,4,33,16914,78,Mauvais,Mauvais,1918,19127,144308,5729,16.9,73,68,91,83,Non,Oui,Oui
EDU000045,2020-10-02,2020-2021,Lycée Nelson Mandela,Privé,Austin,STU37686,Julie,Moreau,Julie Moreau,16,Terminale,Économie,Hugo Simon,10.1,Moyen (D),87.4,13,5,2,32,18451,85,Bon,Moyen,1095,31022,21089,16294,10.4,72,70,87,86,Non,Non,Non
EDU000046,2024-04-23,2020-2021,Lycée Jean Jaurès,Privé,Chicago,STU91018,Thomas,Lambert,Thomas Lambert,15,3ème,Informatique,Jean Bernard,12.4,Bien (C),77.6,13,12,5,22,13968,95,Moyen,Moyen,1707,26827,54074,4502,20.2,73,73,92,62,Non,Non,Oui
EDU000047,2023-07-16,2021-2022,Lycée Albert Einstein,Privé,Toulouse,STU88957,Julie,Richard,Julie Richard,13,5ème,Français,Julie Durand,17.5,Excellent (A),90.7,14,14,5,40,11590,95,Moyen,Bon,2601,9475,132924,16490,22.6,95,57,63,72,Oui,Non,Non
EDU000048,2024-10-20,2020-2021,Lycée Alexandre Dumas,Public,Lyon,STU20057,Julia,Moreau,Julia Moreau,15,1ère,Physique,Zoe Legrand,13.1,Bien (C),94.8,1,14,5,40,7168,60,Mauvais,Bon,1053,34525,37132,13253,29.6,72,72,71,52,Oui,Non,Non
EDU000049,2022-06-13,2024-2025,Lycée Voltaire,Privé,San Antonio,STU47079,Hugo,Laurent,Hugo Laurent,14,3ème,Économie,Antoine Michel,14.8,Très bien (B),76.3,20,10,1,30,4096,75,Mauvais,Moyen,1832,48028,49419,12923,11.6,91,49,82,69,Non,Oui,Oui
EDU000050,2024-05-08,2023-2024,Lycée Simone de Beauvoir,Public,San Diego,STU97833,Julia,Robert,Julia Robert,17,1ère,Chimie,Gabriel Lambert,9.3,Insuffisant (E),75.5,9,5,2,30,16934,52,Bon,Bon,1434,10057,87540,5314,20.2,87,73,62,71,Oui,Non,Oui
EDU000051,2022-07-11,2026-2027,Lycée Marie Curie,Public,Nantes,STU15726,Felix,David,Felix David,14,3ème,Chimie,Lena Fournier,10.3,Moyen (D),82.1,14,7,5,27,11140,91,Mauvais,Bon,2306,49453,125499,17128,25.4,94,64,92,83,Non,Oui,Oui
EDU000052,2023-06-22,2026-2027,Lycée Victor Schoelcher,Public,Nice,STU72991,Lucas,Girard,Lucas Girard,17,Terminale,Philosophie,Marie Richard,15.1,Très bien (B),78.1,2,5,3,34,17821,49,Mauvais,Excellent,1709,34565,101641,2873,18.3,82,82,83,65,Non,Oui,Non
EDU000053,2021-10-11,2022-2023,Lycée Albert Einstein,Privé,Paris,STU95191,Julia,Lefevre,Julia Lefevre,12,4ème,Histoire-Géographie,Sophie Martin,10.9,Moyen (D),95.7,4,15,4,39,1172,45,Excellent,Moyen,1683,14798,148352,15869,12.2,79,55,79,57,Oui,Oui,Non
EDU000054,2025-10-17,2024-2025,Lycée Jean Moulin,Public,Liverpool,STU75513,Marie,Thomas,Marie Thomas,16,2nde,Mathématiques,Arthur Girard,12.9,Bien (C),78.6,13,0,5,31,8882,76,Mauvais,Bon,1150,39307,104530,4217,29.1,87,72,92,85,Oui,Non,Non
EDU000055,2024-11-08,2023-2024,Lycée Victor Hugo,Public,London,STU12128,Camille,Mercier,Camille Mercier,12,4ème,Informatique,Clara Moreau,15.3,Très bien (B),90.7,18,10,2,21,12544,74,Moyen,Bon,2703,36361,57783,6418,11.3,94,69,62,68,Oui,Oui,Oui
EDU000056,2026-06-13,2022-2023,Lycée Victor Hugo,Public,New York,STU81176,Lea,Bonnet,Lea Bonnet,14,3ème,Mathématiques,Arthur Girard,9.8,Insuffisant (E),94.5,20,10,3,23,13059,67,Mauvais,Mauvais,2383,27219,58973,18259,23.8,81,73,77,55,Non,Oui,Non
EDU000057,2023-12-18,2021-2022,Lycée Victor Schoelcher,Public,Bristol,STU20494,Clara,Thomas,Clara Thomas,14,4ème,Sciences,Emma Laurent,12.5,Bien (C),92.9,5,14,3,34,2387,86,Moyen,Mauvais,1924,46908,25036,4458,23.4,82,63,92,60,Oui,Oui,Non
EDU000058,2023-04-25,2020-2021,Lycée Victor Hugo,Public,Nice,STU58015,Lena,Girard,Lena Girard,13,4ème,Physique,Sophie Martin,14.2,Très bien (B),98.7,11,14,1,38,5511,73,Moyen,Mauvais,2087,47569,83056,10179,29.2,70,51,91,83,Non,Oui,Non
EDU000059,2023-01-27,2023-2024,Lycée Simone de Beauvoir,Public,Birmingham,STU74382,Raphael,Moreau,Raphael Moreau,11,5ème,Histoire-Géographie,Jean Bernard,12.5,Bien (C),97.5,14,2,3,31,3127,75,Moyen,Moyen,1445,46792,55636,13845,20.2,73,52,68,65,Non,Oui,Non
EDU000060,2025-11-28,2022-2023,Lycée Voltaire,Privé,Dallas,STU27009,Maxime,Vincent,Maxime Vincent,14,2nde,Français,Emma Laurent,12.0,Bien (C),92.9,15,13,4,38,3416,48,Moyen,Excellent,2643,35528,145622,13289,12.6,96,75,71,58,Non,Oui,Oui
EDU000061,2022-07-07,2022-2023,Lycée Voltaire,Privé,Nice,STU39552,Thomas,Simon,Thomas Simon,14,4ème,Sciences,Jean Bernard,10.5,Moyen (D),90.9,17,8,2,40,10922,79,Excellent,Bon,1431,16219,98504,3349,26.5,70,45,62,86,Non,Oui,Non
EDU000062,2026-04-02,2020-2021,Lycée Victor Schoelcher,Public,London,STU81509,Rose,Girard,Rose Girard,14,4ème,Sciences,Manon Dupont,10.4,Moyen (D),95.2,12,9,4,22,2963,50,Mauvais,Mauvais,2783,35437,63483,13147,22.1,80,85,80,72,Non,Oui,Non
EDU000063,2024-03-31,2020-2021,Lycée Voltaire,Privé,San Diego,STU26059,Nicolas,David,Nicolas David,13,4ème,Langues,Pierre Petit,9.0,Insuffisant (E),82.3,12,13,2,25,11729,76,Moyen,Bon,1452,37654,144932,17296,20.0,79,71,61,55,Non,Non,Oui
EDU000064,2021-03-19,2022-2023,Lycée Albert Einstein,Privé,Dallas,STU74866,Lucas,Moreau,Lucas Moreau,16,2nde,Chimie,Manon Dupont,10.4,Moyen (D),77.7,4,8,3,32,12991,42,Mauvais,Excellent,1597,28758,85655,4409,17.7,84,75,77,89,Oui,Oui,Oui
EDU000065,2024-06-20,2026-2027,Lycée Nelson Mandela,Privé,Los Angeles,STU28909,Jules,Laurent,Jules Laurent,13,5ème,Philosophie,Nicolas Martinez,13.0,Bien (C),76.1,4,10,4,36,15974,49,Bon,Moyen,2104,15649,113010,11805,21.9,86,72,94,81,Non,Non,Oui
EDU000066,2021-11-23,2025-2026,Lycée Thomas Edison,Public,New York,STU50327,Louis,Fournier,Louis Fournier,18,Terminale,Musique,Felix Vincent,15.3,Très bien (B),91.4,18,7,1,38,16743,50,Mauvais,Bon,1792,7069,38808,8251,10.4,80,76,69,76,Oui,Non,Non
EDU000067,2022-03-20,2020-2021,Lycée Montesquieu,Privé,Leeds,STU83516,Ines,Petit,Ines Petit,14,4ème,Sport,Gabriel Lambert,11.8,Moyen (D),98.9,14,10,5,31,9662,79,Mauvais,Bon,1809,23284,88249,9368,28.8,79,58,73,81,Non,Non,Non
EDU000068,2023-09-26,2026-2027,Lycée Voltaire,Privé,Cardiff,STU85166,Antoine,Thomas,Antoine Thomas,17,1ère,Arts,Nicolas Martinez,18.4,Excellent (A),82.3,9,2,3,34,9403,87,Mauvais,Bon,1627,40296,81075,10900,12.7,89,77,75,65,Oui,Oui,Oui
EDU000069,2024-05-15,2023-2024,Lycée Victor Hugo,Public,Toulouse,STU23178,Anna,Bertrand,Anna Bertrand,15,1ère,Mathématiques,Alice Bonnet,17.2,Excellent (A),97.0,15,15,2,29,11524,58,Excellent,Excellent,1751,40071,19777,7736,18.4,96,51,62,75,Non,Oui,Non
EDU000070,2021-11-14,2022-2023,Lycée Victor Hugo,Public,Paris,STU47298,David,Simon,David Simon,15,3ème,Philosophie,Gabriel Lambert,12.9,Bien (C),98.5,16,14,3,26,4691,61,Bon,Mauvais,1853,17202,13692,13046,25.8,88,83,72,61,Non,Non,Non
EDU000071,2021-09-26,2025-2026,Lycée Jean Jaurès,Privé,Chicago,STU72580,Thomas,Robert,Thomas Robert,12,4ème,Mathématiques,Hugo Simon,11.8,Moyen (D),81.7,10,9,5,38,1374,56,Moyen,Bon,1054,48764,40991,17250,16.1,82,83,92,69,Oui,Non,Non
EDU000072,2022-03-02,2021-2022,Lycée Victor Schoelcher,Public,Montpellier,STU69634,Gabriel,Robert,Gabriel Robert,17,1ère,Informatique,Ines Lefevre,15.8,Très bien (B),93.9,6,7,5,22,18219,68,Moyen,Excellent,1259,9047,142510,8624,21.5,74,50,80,83,Non,Oui,Oui
EDU000073,2021-09-08,2023-2024,Lycée Montesquieu,Privé,Dallas,STU68390,Rose,Roux,Rose Roux,16,Terminale,Sport,Pierre Petit,13.0,Bien (C),76.4,14,9,1,32,9338,92,Excellent,Bon,1099,7968,121069,13289,24.0,87,53,64,80,Oui,Non,Non
EDU000074,2025-05-19,2021-2022,Lycée Marie Curie,Public,Glasgow,STU60132,Hugo,Martinez,Hugo Martinez,14,3ème,Arts,Jean Bernard,16.0,Excellent (A),88.5,20,11,1,25,18604,65,Bon,Bon,814,6489,88214,17171,23.5,87,67,94,74,Oui,Oui,Non
EDU000075,2022-10-13,2022-2023,Lycée Thomas Edison,Public,Nice,STU24790,David,Martinez,David Martinez,12,6ème,Arts,Zoe Legrand,17.0,Excellent (A),75.4,6,2,1,39,2100,68,Excellent,Bon,981,31362,125071,9678,20.8,94,43,68,82,Non,Oui,Non
EDU000076,2024-04-06,2026-2027,Lycée Victor Schoelcher,Public,Austin,STU28777,Nicolas,Moreau,Nicolas Moreau,17,1ère,Langues,Ines Lefevre,10.1,Moyen (D),98.7,5,13,5,35,2536,62,Mauvais,Moyen,2505,31755,49116,11826,17.5,94,74,90,65,Oui,Non,Oui
EDU000077,2025-04-18,2020-2021,Lycée Alexandre Dumas,Public,Cardiff,STU79467,Louis,Vincent,Louis Vincent,12,5ème,Langues,Hugo Simon,10.0,Moyen (D),91.2,14,11,1,37,7241,43,Moyen,Mauvais,961,9769,59325,9111,19.6,97,61,79,50,Oui,Oui,Oui
EDU000078,2023-05-22,2023-2024,Lycée Montesquieu,Privé,Glasgow,STU36805,Anna,Morel,Anna Morel,13,3ème,Philosophie,Antoine Michel,15.8,Très bien (B),84.5,17,11,3,28,12784,72,Mauvais,Mauvais,1203,35768,93947,8656,17.4,83,42,74,59,Oui,Non,Non
EDU000079,2024-05-14,2021-2022,Lycée Simone de Beauvoir,Public,Nice,STU84683,Nicolas,Michel,Nicolas Michel,16,Terminale,Sport,Alice Bonnet,14.9,Très bien (B),81.4,15,15,4,25,12540,50,Bon,Mauvais,1553,40529,25396,19168,10.7,97,54,63,50,Non,Oui,Oui
EDU000080,2020-10-08,2021-2022,Lycée Jean Jaurès,Privé,Birmingham,STU69770,Julie,Roux,Julie Roux,12,4ème,Physique,Arthur Girard,14.8,Très bien (B),87.1,15,0,1,37,19076,66,Excellent,Excellent,2968,23005,85153,2561,20.0,92,83,87,61,Oui,Oui,Oui
EDU000081,2023-07-01,2024-2025,Lycée Albert Einstein,Privé,Strasbourg,STU45038,Julia,Laurent,Julia Laurent,17,Terminale,Français,Camille Garcia,17.5,Excellent (A),81.1,7,9,1,40,2038,45,Mauvais,Mauvais,2344,41221,134781,3838,22.7,92,60,65,81,Non,Non,Oui
EDU000082,2023-03-31,2020-2021,Lycée Voltaire,Privé,Cardiff,STU84289,Julie,Martinez,Julie Martinez,14,3ème,Mathématiques,Jean Bernard,14.6,Très bien (B),88.6,1,5,3,20,7788,77,Bon,Mauvais,1115,24613,52585,9879,21.3,97,64,94,71,Non,Oui,Oui
EDU000083,2021-04-08,2022-2023,Lycée Voltaire,Privé,Leeds,STU40427,Jean,Garcia,Jean Garcia,16,Terminale,Informatique,Zoe Legrand,16.6,Excellent (A),84.9,10,0,3,34,17076,54,Moyen,Mauvais,2568,17172,109633,4808,25.4,79,65,64,55,Non,Oui,Non
EDU000084,2022-05-25,2025-2026,Lycée Montesquieu,Privé,Liverpool,STU51507,Felix,Michel,Felix Michel,12,4ème,Français,Michel Dupont,17.4,Excellent (A),86.1,8,3,2,22,7140,67,Mauvais,Mauvais,1223,6721,33493,13597,21.1,89,78,80,74,Oui,Non,Non
EDU000085,2023-05-23,2020-2021,Lycée Nelson Mandela,Privé,Glasgow,STU32227,Alice,Roux,Alice Roux,16,1ère,Histoire-Géographie,Pierre Petit,10.2,Moyen (D),78.6,5,13,3,33,10822,70,Excellent,Moyen,1830,21160,139971,8407,19.2,74,59,60,75,Non,Non,Non
EDU000086,2022-03-12,2023-2024,Lycée Alexandre Dumas,Public,New York,STU89064,Antoine,Simon,Antoine Simon,15,1ère,Sport,Antoine Michel,9.6,Insuffisant (E),83.0,20,15,5,27,11678,64,Moyen,Mauvais,2295,12463,62376,19879,13.6,94,75,61,79,Oui,Non,Non
